,Mean,Std,Max,Max Cluster,Min,Min Cluster
Bark Thick.,0.04772391046291239,0.8434932739862411,2.643638289463124,3.0,-1.824494988344577,10.0
Crown Diam.,0.034112396302479156,0.9667113290288243,2.2903435567045083,16.0,-1.5962898112150596,19.0
Crown Height,-0.048299175106414835,0.9414850489993658,2.0249454864799543,17.0,-2.082183351237061,20.0
Leaf K/Mass,0.009059960118082315,0.7797666310374811,1.4812531560344528,20.0,-2.401080643490174,35.0
Leaf N/Mass,-0.15094377045755894,0.8889170196823428,1.7620789155356502,28.0,-1.9430674152342167,25.0
Leaf P/Mass,-0.1001936178222398,0.6807001617642772,1.5237680232808828,28.0,-1.635705180726015,35.0
Leaf Vcmax/Mass,-0.09470075483659365,0.7645391035206149,1.3161362422471816,33.0,-1.7781227194971514,35.0
Leaf Area,-0.16236706224195893,0.9470143731465851,1.4568977939862697,26.0,-2.68749072937726,23.0
Leaf Dens.,-0.107888736990826,0.986060294445797,1.1189839412915616,4.0,-4.1890944367907315,36.0
Leaf Thick.,0.16236553458307365,0.8435437129693549,2.4556747581044442,23.0,-1.2727898154928488,15.0
Root Depth,0.0008318951737286127,0.9512664134537839,2.6019097870274,29.0,-1.7738606486122532,11.0
Seed Mass,-0.12733586089648097,0.8936641455103937,1.4219370409332697,5.0,-2.30547882525908,11.0
Spec. Leaf Area,-0.12010201336187169,0.775149283854613,1.3105054255459343,28.0,-2.161417361417328,4.0
Stem Cond. Diam.,-0.051913042922068185,0.9792640555487178,2.0311458377212483,27.0,-2.6117343090731184,23.0
Stem Diam.,0.06315398284524781,0.7046009872357373,1.3897089880017517,20.0,-1.5112902858226132,12.0
Stomatal Cond.,-0.019616865337198853,0.7278168111456746,1.3763591522759755,18.0,-1.442843273371864,22.0
Tree Height,-0.07624414960380631,0.7604822018529863,1.1740853093823889,23.0,-2.1370334990850743,11.0
Wood Dens.,0.0042973036516082445,0.7764090013206343,1.4615610377928723,4.0,-1.9680277832570985,21.0
