K,Silhouette Score
2,0.017439395381650166
3,0.03304536811478707
4,0.042717082497556506
5,0.05233853338991693
6,0.06179792812629917
7,0.0717858040588591
8,0.0805378977377709
9,0.09001728691809398
10,0.09384989774661168
11,0.10582688011766986
12,0.11412850329572402
13,0.12169795834910814
14,0.12817941069996439
15,0.13611681479733326
16,0.1439024501679069
17,0.1505301262376339
18,0.1579425750045788
19,0.16445212248800437
20,0.16903010940682
21,0.17423202851924294
22,0.18130554428056705
23,0.18447571642473534
24,0.188947771498281
25,0.19043013573764644
26,0.1905334681980413
27,0.19080927306141343
28,0.19200777388286103
29,0.1937751567871306
30,0.19727536792666872
31,0.1990915720550476
32,0.19934736897046773
33,0.19939589123263982
34,0.1970260085216244
35,0.19868848271847805
36,0.19914498447400875
37,0.19987576154832748
38,0.20173545261406797
39,0.20020365373069726
40,0.20166023289370766
41,0.20208071540927966
42,0.20324019036571572
43,0.20093124765611323
44,0.20097565164370754
45,0.20145370670816257
46,0.1980502641502812
47,0.19624670517412654
48,0.1935390193863618
49,0.19394004728308586
50,0.1946100425122905
51,0.18908220914362053
52,0.19000030763645903
53,0.19145343986722616
54,0.18807911307281708
55,0.18704573117109463
56,0.1847418209797401
57,0.18364388504462206
58,0.18225001736836388
59,0.1830877398841931
60,0.18278564854558965
61,0.18113995542280772
62,0.1815981250718048
63,0.1825158728576028
64,0.18279704721912476
65,0.18329025910581584
66,0.18192823899867694
67,0.1824469572279139
68,0.17957271206861217
69,0.17991214056684943
70,0.1784030080869499
71,0.17930192612362883
72,0.1785339235031716
73,0.1767380707493274
74,0.177143301963783
75,0.17690300806722647
76,0.1773543474727304
77,0.17666030587084638
78,0.1771683200441275
79,0.1776834925092209
80,0.17817441110456136
81,0.1761337775968381
82,0.1755428869201198
83,0.17467241914832854
84,0.17454511221262686
85,0.1749589712225875
86,0.17538275143093385
87,0.1758405216993537
88,0.17493468940123427
89,0.17432484305801607
90,0.1738523555472851
91,0.1727505588611631
92,0.1728991549863633
93,0.17236453158477164
94,0.17131777460199699
95,0.169879137712412
96,0.16938565249541773
97,0.1693500782579904
98,0.16964953016156156
99,0.1687783554707288
100,0.16863344276468042
101,0.16920847230739752
102,0.16949808725222887
103,0.16487068900827506
104,0.165195782905924
105,0.16285244152015863
106,0.1632205228098017
107,0.16249216917530007
108,0.1617492154093829
109,0.16191635921242253
110,0.1614588695812174
111,0.16094984510886187
112,0.1612571336668885
113,0.1605699463613721
114,0.1608574955582296
115,0.1593620284931374
116,0.15919265761640347
117,0.15950028584718626
118,0.15926013607431883
119,0.15952718735664703
