,N_components,BIC
0,10.0,1955262.236765234
1,11.0,1952223.8731576826
2,12.0,1946072.9626071653
3,13.0,1943723.2319164118
4,14.0,1939992.9773299599
5,15.0,1937148.9194443736
6,16.0,1931373.9766750387
7,17.0,1931926.2532248269
8,18.0,1928002.91611766
9,19.0,1926030.214310263
10,20.0,1926078.0534862268
11,21.0,1926181.5493368527
12,22.0,1924929.6061427698
13,23.0,1919954.8472931557
14,24.0,1919834.8428733193
15,25.0,1919647.6990044115
16,26.0,1918109.2618708415
17,27.0,1918773.3216566544
18,28.0,1918133.154772357
19,29.0,1916953.3798618522
20,30.0,1917267.522957563
21,31.0,1917888.219683851
22,32.0,1917915.145577887
23,33.0,1917143.7223283416
24,34.0,1916712.436778472
25,35.0,1917189.4288862247
26,36.0,1915239.6441739309
27,37.0,1915804.2967012601
28,38.0,1915463.2634124868
29,39.0,1915082.3900229495
30,40.0,1916019.9225935563
31,41.0,1915673.9906594085
32,42.0,1918751.679020813
33,43.0,1917077.6914194438
34,44.0,1915540.492027015
35,45.0,1917438.1862263842
36,46.0,1917222.4439699894
37,47.0,1916802.8765417298
38,48.0,1918234.1846506018
39,49.0,1919258.9036845681
40,50.0,1917934.2360182074
41,51.0,1919459.847003433
42,52.0,1917596.5975406638
43,53.0,1918686.2607563569
44,54.0,1921102.7823707936
45,55.0,1921405.2862702273
46,56.0,1920782.9317700677
47,57.0,1923805.447219313
48,58.0,1923393.734385689
49,59.0,1925061.4210173897
50,60.0,1926056.7055377949
