,N_components,BIC
0,10.0,1945677.8482191504
1,11.0,1941833.7726326424
2,12.0,1938048.6502883555
3,13.0,1935450.7474671907
4,14.0,1931159.0888328862
5,15.0,1929052.8279587864
6,16.0,1925627.4959337495
7,17.0,1923598.339674414
8,18.0,1922472.634080946
9,19.0,1920598.7299875217
10,20.0,1918608.3496027726
11,21.0,1916445.9815358173
12,22.0,1914571.1839304653
13,23.0,1914054.2209135448
14,24.0,1913295.3068895403
15,25.0,1913549.4428127229
16,26.0,1911075.9466956418
17,27.0,1910048.359171924
18,28.0,1909627.2923879595
19,29.0,1909105.0382489194
20,30.0,1910472.88222426
21,31.0,1909722.654337995
22,32.0,1909045.991362084
23,33.0,1907325.4178678696
24,34.0,1909804.6775074159
25,35.0,1908968.9813049915
26,36.0,1910692.5367950986
27,37.0,1910864.0117462112
28,38.0,1908107.9623614121
29,39.0,1911465.702268953
30,40.0,1909943.8021676526
31,41.0,1909424.034544509
32,42.0,1911059.4126431695
33,43.0,1908803.5683360028
34,44.0,1911746.3572770813
35,45.0,1910459.6375391767
36,46.0,1911229.7494866601
37,47.0,1910599.583401588
38,48.0,1910494.8695001141
39,49.0,1912342.2142551276
40,50.0,1912031.8674096193
41,51.0,1912620.293600746
42,52.0,1912093.4487844734
43,53.0,1913662.9376270166
44,54.0,1914022.9255309368
45,55.0,1913411.107632368
46,56.0,1913615.268655189
47,57.0,1915125.8195248628
48,58.0,1916002.390478905
49,59.0,1917840.9153682352
50,60.0,1917007.1632199117
