,N_components,BIC
0,10.0,1954180.8576407093
1,11.0,1946135.3383473163
2,12.0,1943608.5184777738
3,13.0,1940893.8960559824
4,14.0,1936776.470940425
5,15.0,1934379.5588733265
6,16.0,1930924.2721788324
7,17.0,1929183.8064507095
8,18.0,1926398.3329509266
9,19.0,1929355.3217571503
10,20.0,1924495.2774369528
11,21.0,1923100.7883891852
12,22.0,1921096.5867548706
13,23.0,1921145.710747035
14,24.0,1921091.002374619
15,25.0,1918939.07018682
16,26.0,1918154.572096367
17,27.0,1917142.0002116207
18,28.0,1917816.2899546048
19,29.0,1915557.717622766
20,30.0,1917748.700211034
21,31.0,1917911.4434626978
22,32.0,1915980.9044724659
23,33.0,1915676.3107676776
24,34.0,1914941.5247512418
25,35.0,1917087.687387315
26,36.0,1914591.3964104299
27,37.0,1916005.615639941
28,38.0,1916325.4679618771
29,39.0,1915725.726363949
30,40.0,1913827.4363799952
31,41.0,1914282.2568173746
32,42.0,1914702.4140172554
33,43.0,1915552.0281818847
34,44.0,1914372.964243069
35,45.0,1914935.0878676272
36,46.0,1915425.8403820773
37,47.0,1916275.2945401005
38,48.0,1917482.861660799
39,49.0,1918911.0743611548
40,50.0,1918125.1869900671
41,51.0,1917899.656539976
42,52.0,1919091.6430636998
43,53.0,1920624.129422386
44,54.0,1921791.0610752527
45,55.0,1921847.5664267172
46,56.0,1922103.0265589533
47,57.0,1923291.7256361323
48,58.0,1925206.9137216806
49,59.0,1925564.874835257
50,60.0,1925207.3007028692
