,N_components,BIC
0,10.0,1950774.4511270432
1,11.0,1945249.4901896776
2,12.0,1944219.7739839873
3,13.0,1941348.3260021308
4,14.0,1939907.0580799181
5,15.0,1935976.8692152125
6,16.0,1933904.5577896067
7,17.0,1933872.1934009688
8,18.0,1932127.2004185736
9,19.0,1929320.7618745707
10,20.0,1927380.1834378082
11,21.0,1924632.91230568
12,22.0,1922900.006347975
13,23.0,1921039.0584398224
14,24.0,1921261.6497421328
15,25.0,1922026.159503763
16,26.0,1920151.8528638505
17,27.0,1918980.0653036523
18,28.0,1917704.2728969494
19,29.0,1917632.1871896116
20,30.0,1918016.1221364914
21,31.0,1918546.4680442996
22,32.0,1915530.0685261905
23,33.0,1915583.0285136816
24,34.0,1914816.9862371555
25,35.0,1913509.658240144
26,36.0,1913334.720315078
27,37.0,1913349.2787785002
28,38.0,1912363.3555517169
29,39.0,1913040.547926058
30,40.0,1912284.0564330013
31,41.0,1913223.152548029
32,42.0,1914894.4341860304
33,43.0,1914367.7243688314
34,44.0,1914022.3201285931
35,45.0,1916297.0709139628
36,46.0,1915246.0691037234
37,47.0,1916534.4002918985
38,48.0,1918041.2735498543
39,49.0,1916477.2844689493
40,50.0,1916874.1693857373
41,51.0,1916496.3692720726
42,52.0,1918436.1678155924
43,53.0,1918926.712054087
44,54.0,1919819.8330997091
45,55.0,1921338.7626191096
46,56.0,1921151.8377572151
47,57.0,1921822.4286038782
48,58.0,1924570.5178562952
49,59.0,1923894.8080102575
50,60.0,1924647.189928533
