,N_components,BIC
0,10.0,1949757.186139251
1,11.0,1948204.8539279911
2,12.0,1946585.7372267013
3,13.0,1941896.2414349169
4,14.0,1938624.1350857115
5,15.0,1935806.6095624568
6,16.0,1933484.7264437843
7,17.0,1930644.602113899
8,18.0,1927805.68823537
9,19.0,1925611.41486838
10,20.0,1924163.9624533425
11,21.0,1922536.7191201067
12,22.0,1921156.0930397084
13,23.0,1920245.3343809638
14,24.0,1920703.4987934574
15,25.0,1919404.0244047837
16,26.0,1920092.2253515653
17,27.0,1918028.7126401395
18,28.0,1919342.7321431823
19,29.0,1918272.915258304
20,30.0,1917506.7629657655
21,31.0,1919128.9530805277
22,32.0,1917248.6239958766
23,33.0,1917855.6021426911
24,34.0,1915522.4597739377
25,35.0,1916386.613175516
26,36.0,1916927.3564228201
27,37.0,1916878.9233714188
28,38.0,1915958.4846104283
29,39.0,1915386.2279267712
30,40.0,1916694.1711774622
31,41.0,1914715.08593496
32,42.0,1914226.5453659194
33,43.0,1914270.6462375594
34,44.0,1914973.2704158393
35,45.0,1915360.6519491756
36,46.0,1916063.7426013227
37,47.0,1916313.4650233139
38,48.0,1917437.8583016866
39,49.0,1917055.4246205161
40,50.0,1918121.1344831197
41,51.0,1918620.0736924063
42,52.0,1918161.3448025002
43,53.0,1919537.1929092528
44,54.0,1919660.6625931305
45,55.0,1925265.4151857037
46,56.0,1923985.7118470473
47,57.0,1924100.638679093
48,58.0,1924754.8555938455
49,59.0,1923289.2436003343
50,60.0,1926643.6942606554
