,N_components,BIC
0,10.0,1954152.8708709409
1,11.0,1949434.233389557
2,12.0,1943486.6670162769
3,13.0,1942531.427192916
4,14.0,1939839.5503306352
5,15.0,1934929.7990494294
6,16.0,1930958.3857718152
7,17.0,1931868.482421988
8,18.0,1926320.4964420812
9,19.0,1926349.7417911754
10,20.0,1926490.0489117075
11,21.0,1921954.3314877609
12,22.0,1922075.8914868424
13,23.0,1920183.9852948019
14,24.0,1918816.8251135482
15,25.0,1918235.3331142606
16,26.0,1917355.731319164
17,27.0,1917900.826736382
18,28.0,1915788.881384486
19,29.0,1915388.5948589896
20,30.0,1914540.4209396758
21,31.0,1915582.2356492423
22,32.0,1916151.4997195543
23,33.0,1915413.3689907922
24,34.0,1915948.5091202562
25,35.0,1914880.3675942086
26,36.0,1914524.781508752
27,37.0,1914548.2763396788
28,38.0,1915365.7222076813
29,39.0,1915257.8845451404
30,40.0,1913262.154444457
31,41.0,1914271.7892888866
32,42.0,1913648.014891306
33,43.0,1914433.8108124977
34,44.0,1916792.3719830904
35,45.0,1916516.831505501
36,46.0,1918950.069470739
37,47.0,1916373.0084067008
38,48.0,1916906.6462776614
39,49.0,1916330.7866140236
40,50.0,1917936.1391746295
41,51.0,1918908.6285778428
42,52.0,1918173.7105070094
43,53.0,1917325.4834817573
44,54.0,1919752.531709828
45,55.0,1919161.8947170835
46,56.0,1920920.8532064538
47,57.0,1921276.1503981862
48,58.0,1921523.3786164988
49,59.0,1922873.3950082432
50,60.0,1924773.305765934
