,N_components,BIC
0,10.0,1947824.6919114145
1,11.0,1942967.983177703
2,12.0,1941591.1760485242
3,13.0,1936448.0165698745
4,14.0,1935210.954829071
5,15.0,1930754.4665837905
6,16.0,1927367.7650021235
7,17.0,1925809.7770135894
8,18.0,1924203.5081490276
9,19.0,1922342.7770374413
10,20.0,1923323.9862939343
11,21.0,1918999.9922975486
12,22.0,1918046.7029156059
13,23.0,1916100.0687135567
14,24.0,1913926.131298658
15,25.0,1913978.7424530196
16,26.0,1913856.8169272644
17,27.0,1915589.1750533965
18,28.0,1913352.4250278359
19,29.0,1912534.348076016
20,30.0,1910318.0035348223
21,31.0,1911821.2410292367
22,32.0,1911987.2020324601
23,33.0,1912539.137738986
24,34.0,1910253.243695925
25,35.0,1912932.3604907803
26,36.0,1915203.2301970865
27,37.0,1911474.9934230756
28,38.0,1912321.7970705095
29,39.0,1909133.1499246848
30,40.0,1910297.2307585096
31,41.0,1910470.1990241045
32,42.0,1912058.4708148367
33,43.0,1910841.234826281
34,44.0,1910167.7891277056
35,45.0,1910539.2223805133
36,46.0,1911337.433778875
37,47.0,1911161.4921555491
38,48.0,1911546.1459388202
39,49.0,1912507.1426834273
40,50.0,1912270.1748077604
41,51.0,1911931.4525878483
42,52.0,1912466.7923970805
43,53.0,1913796.4264604752
44,54.0,1914792.4041060582
45,55.0,1914953.9351939305
46,56.0,1916506.8714781485
47,57.0,1917796.39013787
48,58.0,1917481.797060133
49,59.0,1919288.8738883478
50,60.0,1923396.2316343074
