,N_components,BIC
0,10.0,1951393.4564100914
1,11.0,1948655.6301066303
2,12.0,1945745.6016478706
3,13.0,1941586.7850634584
4,14.0,1941132.157267381
5,15.0,1936841.0523275314
6,16.0,1933414.5785154698
7,17.0,1931943.3233362057
8,18.0,1928869.2708649896
9,19.0,1927009.5511199124
10,20.0,1927544.3167160954
11,21.0,1927650.4236446044
12,22.0,1925149.283034487
13,23.0,1924519.8058917942
14,24.0,1923830.0491396687
15,25.0,1923350.7044094212
16,26.0,1920482.601216607
17,27.0,1920896.8730462403
18,28.0,1919763.3252399485
19,29.0,1920368.3750822071
20,30.0,1917990.789755983
21,31.0,1917922.9818163028
22,32.0,1918651.5087353645
23,33.0,1916520.0257315622
24,34.0,1916661.6798824274
25,35.0,1917193.5314079905
26,36.0,1916939.2636406533
27,37.0,1917019.2299613191
28,38.0,1917836.4704055248
29,39.0,1917256.4560010761
30,40.0,1916311.164468982
31,41.0,1916813.6832551248
32,42.0,1918325.791811886
33,43.0,1916063.6908178465
34,44.0,1915938.7357055882
35,45.0,1916694.7475264617
36,46.0,1916621.1090616274
37,47.0,1917074.3059025444
38,48.0,1918630.2299183933
39,49.0,1918442.3216304476
40,50.0,1919629.4691681864
41,51.0,1918932.2612089124
42,52.0,1920971.167185717
43,53.0,1919765.4335111193
44,54.0,1920756.8337861304
45,55.0,1920757.040467205
46,56.0,1919898.7471663107
47,57.0,1922294.1408631268
48,58.0,1923062.334524556
49,59.0,1924367.9991214545
50,60.0,1925954.7537321597
