,N_components,BIC
0,10.0,1960918.8615627284
1,11.0,1949043.8145815795
2,12.0,1945971.4892558823
3,13.0,1943051.700145127
4,14.0,1937438.673579518
5,15.0,1934622.6739317875
6,16.0,1931285.4245259645
7,17.0,1930324.4508166697
8,18.0,1930528.491994626
9,19.0,1932327.759636687
10,20.0,1927091.2333263578
11,21.0,1923967.4284040798
12,22.0,1922225.4172627518
13,23.0,1920117.9576764028
14,24.0,1918780.8249941415
15,25.0,1922094.264702909
16,26.0,1918779.2180259333
17,27.0,1916491.9192507549
18,28.0,1918075.9596497759
19,29.0,1917487.264920632
20,30.0,1917431.590131672
21,31.0,1916588.1991156612
22,32.0,1916488.160776114
23,33.0,1914194.4166885465
24,34.0,1915612.552130706
25,35.0,1915718.6101163572
26,36.0,1915302.8456994987
27,37.0,1914772.154141766
28,38.0,1913696.466123052
29,39.0,1913245.645095946
30,40.0,1913161.8586544332
31,41.0,1914692.3100987773
32,42.0,1915200.567473954
33,43.0,1915024.0341873409
34,44.0,1915689.4634621395
35,45.0,1915311.67174377
36,46.0,1916143.8543336927
37,47.0,1917470.5164789134
38,48.0,1915987.9011927173
39,49.0,1917096.7097437722
40,50.0,1918711.228445119
41,51.0,1918017.4806473178
42,52.0,1918320.6941513522
43,53.0,1919921.9660728297
44,54.0,1920164.7948856107
45,55.0,1919967.7274164762
46,56.0,1921411.4939435814
47,57.0,1921694.4861048309
48,58.0,1923521.2626583911
49,59.0,1924040.348024331
50,60.0,1923282.076687653
