,N_components,BIC
0,10.0,1951383.2347062165
1,11.0,1947642.9021282615
2,12.0,1946973.3203616247
3,13.0,1940543.1075864292
4,14.0,1934675.4608105232
5,15.0,1933596.664697946
6,16.0,1934464.9637243538
7,17.0,1931216.020510474
8,18.0,1929247.5620205798
9,19.0,1928417.5145872901
10,20.0,1926481.564682113
11,21.0,1925253.0380260744
12,22.0,1924785.8445057697
13,23.0,1921508.0052102143
14,24.0,1919600.1926263997
15,25.0,1918804.499949831
16,26.0,1916418.3638289962
17,27.0,1920571.85923482
18,28.0,1917642.3711484184
19,29.0,1914822.4354063885
20,30.0,1915961.0201315626
21,31.0,1916195.2894546674
22,32.0,1915514.435534819
23,33.0,1915555.6141894325
24,34.0,1914742.8542658652
25,35.0,1913490.80772827
26,36.0,1913501.8153540222
27,37.0,1912842.5036987585
28,38.0,1914285.4782990734
29,39.0,1915243.8655005263
30,40.0,1916359.8600937393
31,41.0,1915825.6128718723
32,42.0,1915919.4301343644
33,43.0,1915870.8373613597
34,44.0,1915893.1289785227
35,45.0,1915254.115759151
36,46.0,1917984.9302800137
37,47.0,1916812.3873360634
38,48.0,1918313.1880384586
39,49.0,1917228.74366939
40,50.0,1917336.951605575
41,51.0,1918472.900321844
42,52.0,1919810.0091014465
43,53.0,1918287.7753257372
44,54.0,1919449.115789697
45,55.0,1920329.0873357016
46,56.0,1920597.919690923
47,57.0,1921935.8048588105
48,58.0,1923138.1848987027
49,59.0,1922935.9315821615
50,60.0,1924453.4708246253
