,N_components,BIC
0,10.0,1946546.7468073922
1,11.0,1948215.470493358
2,12.0,1946074.5177255673
3,13.0,1939298.3568544784
4,14.0,1936532.5432274349
5,15.0,1933575.4874772767
6,16.0,1930761.7477876716
7,17.0,1928594.1296481232
8,18.0,1925988.0613806807
9,19.0,1925757.4415624766
10,20.0,1925167.7995203456
11,21.0,1924913.078267317
12,22.0,1921542.1264306807
13,23.0,1919746.5770369745
14,24.0,1917664.0279508044
15,25.0,1917288.8467490834
16,26.0,1916824.0353114293
17,27.0,1914407.3227152394
18,28.0,1913880.2377598623
19,29.0,1914487.8005902157
20,30.0,1914653.1801070871
21,31.0,1911346.982128803
22,32.0,1911827.2474816705
23,33.0,1914288.5168213663
24,34.0,1912604.00759468
25,35.0,1911041.7990812762
26,36.0,1910925.5692673356
27,37.0,1912171.320582135
28,38.0,1912979.8739714534
29,39.0,1911520.6960943406
30,40.0,1910894.9068951274
31,41.0,1911720.6749408895
32,42.0,1912894.4324530822
33,43.0,1912119.168809008
34,44.0,1911712.3229179785
35,45.0,1913722.5628623182
36,46.0,1914615.3797541182
37,47.0,1913642.8674408256
38,48.0,1914519.852568651
39,49.0,1912408.72029065
40,50.0,1913719.3713838125
41,51.0,1913983.9988093437
42,52.0,1917511.5074502134
43,53.0,1917090.4770680722
44,54.0,1915992.746165205
45,55.0,1917066.3493581975
46,56.0,1918511.4621163525
47,57.0,1917934.1355048127
48,58.0,1918620.2202642115
49,59.0,1920712.6777470254
50,60.0,1921714.495363436
