,N_components,BIC
0,10.0,1946104.2363323837
1,11.0,1944132.07098773
2,12.0,1939811.5694186173
3,13.0,1938976.3804787789
4,14.0,1931990.516591284
5,15.0,1935571.9464984187
6,16.0,1931828.2989990837
7,17.0,1925532.1062766155
8,18.0,1924381.0414205892
9,19.0,1922028.7518293075
10,20.0,1920465.662749503
11,21.0,1921745.6958045308
12,22.0,1919174.854616804
13,23.0,1918538.2180399038
14,24.0,1918414.053661815
15,25.0,1915326.9179297695
16,26.0,1916283.4116698704
17,27.0,1915380.685074237
18,28.0,1914588.1159592483
19,29.0,1914237.6136880198
20,30.0,1913718.705856091
21,31.0,1912839.7209892557
22,32.0,1914171.7965716738
23,33.0,1917011.63272773
24,34.0,1912940.069537715
25,35.0,1914858.3856002225
26,36.0,1913285.4037474752
27,37.0,1915112.440603819
28,38.0,1913116.285652148
29,39.0,1914185.3715586602
30,40.0,1913158.9591765055
31,41.0,1914494.4253735484
32,42.0,1914291.1377049384
33,43.0,1915605.731285944
34,44.0,1914418.722678491
35,45.0,1916400.7082932217
36,46.0,1913365.9394342927
37,47.0,1915735.955331848
38,48.0,1915694.9018552839
39,49.0,1914663.1633405043
40,50.0,1914431.5217392005
41,51.0,1914754.9490547252
42,52.0,1917119.5394990453
43,53.0,1917237.1102241704
44,54.0,1917150.2381210974
45,55.0,1920061.47169865
46,56.0,1918853.471836118
47,57.0,1920042.3934715982
48,58.0,1921107.1408976659
49,59.0,1921717.1774336188
50,60.0,1922499.5891517152
