,N_components,BIC
0,10.0,1953752.4794727953
1,11.0,1952341.7660101252
2,12.0,1950753.6167420598
3,13.0,1945349.122703331
4,14.0,1941189.8549900965
5,15.0,1937528.8673268615
6,16.0,1938684.39978941
7,17.0,1933805.8978120643
8,18.0,1930619.1554920399
9,19.0,1930332.8634615715
10,20.0,1927276.9905785962
11,21.0,1926355.7094327891
12,22.0,1924829.269878144
13,23.0,1925267.060061127
14,24.0,1922340.7843669518
15,25.0,1921876.8465715516
16,26.0,1920975.06550968
17,27.0,1921977.0439237289
18,28.0,1920678.8736045426
19,29.0,1920874.176594258
20,30.0,1918968.1089017834
21,31.0,1918989.701814356
22,32.0,1918302.1029169885
23,33.0,1919600.8620546437
24,34.0,1918590.916644157
25,35.0,1918512.5939616202
26,36.0,1918002.2370018691
27,37.0,1916960.1280387994
28,38.0,1918123.10925105
29,39.0,1917676.729282084
30,40.0,1917587.686906029
31,41.0,1917075.1888974863
32,42.0,1915884.4128746893
33,43.0,1917036.7784670868
34,44.0,1918308.9372397822
35,45.0,1919294.8192966082
36,46.0,1919417.7011389825
37,47.0,1919291.3643218263
38,48.0,1920725.9539145897
39,49.0,1920763.9630618251
40,50.0,1921251.934303241
41,51.0,1921863.6446847818
42,52.0,1922715.5908147295
43,53.0,1922637.142222995
44,54.0,1922578.4305841096
45,55.0,1921743.3853348678
46,56.0,1922398.0196156541
47,57.0,1923204.2132552539
48,58.0,1925518.6162825213
49,59.0,1926699.924580763
50,60.0,1926806.0517587
