,N_components,BIC
0,10.0,1950731.7981104865
1,11.0,1945327.3115996711
2,12.0,1943667.8656534543
3,13.0,1939161.88225126
4,14.0,1936485.828246068
5,15.0,1932565.4252236024
6,16.0,1931336.8199486875
7,17.0,1927309.373625167
8,18.0,1924875.5606682831
9,19.0,1925425.7396103202
10,20.0,1922933.3260874632
11,21.0,1920480.5471600634
12,22.0,1919383.788117243
13,23.0,1918438.9760521126
14,24.0,1918130.1317185191
15,25.0,1915692.0485489336
16,26.0,1914348.1587792146
17,27.0,1914212.1482184546
18,28.0,1912267.358057491
19,29.0,1911180.8662634843
20,30.0,1912264.767695004
21,31.0,1915184.4202587802
22,32.0,1911140.678852718
23,33.0,1913230.622666588
24,34.0,1909895.7039768642
25,35.0,1909139.619661324
26,36.0,1911535.2131343123
27,37.0,1911196.985954668
28,38.0,1911901.09003594
29,39.0,1912043.8112382307
30,40.0,1912220.6866427723
31,41.0,1912806.7993259018
32,42.0,1913743.1039448183
33,43.0,1912483.7846389005
34,44.0,1912762.7444222297
35,45.0,1914766.7264199364
36,46.0,1915216.619241339
37,47.0,1913000.076084316
38,48.0,1913538.0160934962
39,49.0,1915340.4323489293
40,50.0,1914544.2190849138
41,51.0,1916259.683708937
42,52.0,1917061.786907702
43,53.0,1916579.1577709094
44,54.0,1915753.1062589998
45,55.0,1918226.1034906523
46,56.0,1917537.7734952553
47,57.0,1920332.6360755607
48,58.0,1919548.76306992
49,59.0,1919768.0232231012
50,60.0,1921490.4481974014
