,N_components,BIC
0,10.0,1944999.6576826572
1,11.0,1944338.1860007592
2,12.0,1940766.8528743295
3,13.0,1935149.5858236256
4,14.0,1934021.4116916286
5,15.0,1931187.9369387706
6,16.0,1928947.8528064142
7,17.0,1926861.417070852
8,18.0,1924994.78577082
9,19.0,1924047.0437444695
10,20.0,1922625.6654327838
11,21.0,1920396.210695096
12,22.0,1920419.1494340592
13,23.0,1919081.0554290968
14,24.0,1920665.1920378248
15,25.0,1919793.5856190298
16,26.0,1917285.1819947413
17,27.0,1919636.6161340673
18,28.0,1918079.795908092
19,29.0,1919433.9094063514
20,30.0,1914162.0606893124
21,31.0,1914187.011562571
22,32.0,1914434.311279733
23,33.0,1914154.4990949677
24,34.0,1916491.468590983
25,35.0,1912745.4375015271
26,36.0,1913628.7649201031
27,37.0,1913196.7017645652
28,38.0,1912861.7770555723
29,39.0,1912096.8501891736
30,40.0,1913167.8563984253
31,41.0,1912855.322535661
32,42.0,1912320.830892203
33,43.0,1911614.4165062788
34,44.0,1913863.4586310328
35,45.0,1913373.0531777306
36,46.0,1913849.6300191355
37,47.0,1914071.5963281887
38,48.0,1915464.1190536283
39,49.0,1915329.8123317955
40,50.0,1915198.0060875027
41,51.0,1916928.277247839
42,52.0,1916850.2890832368
43,53.0,1917109.1973213896
44,54.0,1919912.3154590111
45,55.0,1916148.8306257508
46,56.0,1918568.8122807327
47,57.0,1918113.8036980962
48,58.0,1918812.479808711
49,59.0,1919877.8125633397
50,60.0,1921879.7590339282
