,N_components,BIC
0,10.0,1951615.0254145847
1,11.0,1948804.088052993
2,12.0,1947299.725259072
3,13.0,1944545.2534589642
4,14.0,1940413.2834371037
5,15.0,1937656.9763616505
6,16.0,1933414.7178947185
7,17.0,1932185.6715958954
8,18.0,1930523.9934287716
9,19.0,1930068.6462665128
10,20.0,1927098.217421054
11,21.0,1923690.779700083
12,22.0,1922563.8263017135
13,23.0,1921592.6265446544
14,24.0,1921899.5506669923
15,25.0,1920431.7461781818
16,26.0,1920031.426980955
17,27.0,1918370.8060000355
18,28.0,1919061.1855993904
19,29.0,1919817.3763766065
20,30.0,1917061.9349817983
21,31.0,1918641.2079316988
22,32.0,1916776.035022673
23,33.0,1919050.4100370554
24,34.0,1918193.1239542873
25,35.0,1915627.5397449972
26,36.0,1917490.7099280779
27,37.0,1916743.0534591272
28,38.0,1917072.5770171375
29,39.0,1917023.0846216432
30,40.0,1916867.719277554
31,41.0,1915951.288074732
32,42.0,1916372.4880017114
33,43.0,1915810.304695188
34,44.0,1915880.1946139478
35,45.0,1916038.1768976816
36,46.0,1916280.3248612792
37,47.0,1917807.4849187955
38,48.0,1916439.9909930471
39,49.0,1919061.9003794156
40,50.0,1918470.3136432623
41,51.0,1922843.540720437
42,52.0,1922149.7619598256
43,53.0,1920913.3264390188
44,54.0,1919931.3105807654
45,55.0,1920967.9721307687
46,56.0,1922035.8127106107
47,57.0,1922635.6946368369
48,58.0,1922912.6931406923
49,59.0,1924355.4454633137
50,60.0,1924589.8327345161
