,N_components,BIC
0,10.0,1951514.0175532738
1,11.0,1949272.749871585
2,12.0,1943250.6968605402
3,13.0,1939747.3834106394
4,14.0,1935824.3894805044
5,15.0,1934430.665475788
6,16.0,1928839.7497777308
7,17.0,1930018.2148642477
8,18.0,1925660.4807354414
9,19.0,1924389.2357106607
10,20.0,1922560.933365063
11,21.0,1920782.7804321279
12,22.0,1918592.149118365
13,23.0,1917121.989176868
14,24.0,1917162.505160322
15,25.0,1914447.0246406456
16,26.0,1917784.4514949704
17,27.0,1916418.4245964917
18,28.0,1916591.745403672
19,29.0,1914906.104717894
20,30.0,1915573.0142468815
21,31.0,1913726.229290952
22,32.0,1914020.7238169375
23,33.0,1914890.962305212
24,34.0,1915114.8962599756
25,35.0,1914338.660187957
26,36.0,1913777.8312777742
27,37.0,1913701.3132960044
28,38.0,1914069.8276627285
29,39.0,1914670.9867443908
30,40.0,1915404.890579103
31,41.0,1914480.9913631603
32,42.0,1915278.250773387
33,43.0,1915909.6577445185
34,44.0,1914809.877043522
35,45.0,1915650.288106558
36,46.0,1915213.5664592013
37,47.0,1916959.545467951
38,48.0,1917389.5634162975
39,49.0,1918166.8081251713
40,50.0,1918874.6554119345
41,51.0,1918766.9304639546
42,52.0,1919112.1883894913
43,53.0,1918985.2600997735
44,54.0,1919823.9407459537
45,55.0,1919182.9793872393
46,56.0,1919739.900060708
47,57.0,1919060.164866436
48,58.0,1920994.4325782985
49,59.0,1921468.2255137484
50,60.0,1921236.8561705365
