,N_components,BIC
0,10.0,1949234.91900088
1,11.0,1947154.716065303
2,12.0,1942073.3125708695
3,13.0,1937979.9197376855
4,14.0,1937733.274629989
5,15.0,1931152.2942695979
6,16.0,1929081.2546968977
7,17.0,1928475.230786726
8,18.0,1924424.824506325
9,19.0,1922966.4461918077
10,20.0,1921068.469569677
11,21.0,1921334.1048118463
12,22.0,1919498.6348231456
13,23.0,1918218.0663320457
14,24.0,1917257.723441322
15,25.0,1916135.2037180888
16,26.0,1915163.3500812906
17,27.0,1916385.6092449052
18,28.0,1914274.7321309827
19,29.0,1914053.396081315
20,30.0,1912492.4632193816
21,31.0,1912333.714476125
22,32.0,1913971.5219347565
23,33.0,1912495.2534584394
24,34.0,1912984.9742258592
25,35.0,1913314.4802750552
26,36.0,1913265.6973842424
27,37.0,1912755.3906687312
28,38.0,1913243.6603579298
29,39.0,1912316.7177323294
30,40.0,1912621.889619523
31,41.0,1913326.6375293217
32,42.0,1912836.3012297815
33,43.0,1913348.957398964
34,44.0,1914755.3623649704
35,45.0,1914292.310557423
36,46.0,1915329.8591719945
37,47.0,1915555.3955046695
38,48.0,1915253.7346173567
39,49.0,1917932.2054341834
40,50.0,1917654.652309622
41,51.0,1915252.3038221113
42,52.0,1917627.7186780781
43,53.0,1920492.4549664403
44,54.0,1917390.5471348667
45,55.0,1916911.2981449184
46,56.0,1917728.0439497926
47,57.0,1917423.5006754808
48,58.0,1919539.9183302955
49,59.0,1920661.950393496
50,60.0,1921646.5064108039
