,N_components,BIC
0,10.0,1951340.8887646936
1,11.0,1942839.3230677277
2,12.0,1941845.6986836272
3,13.0,1937607.7861580276
4,14.0,1935354.8399792186
5,15.0,1932566.678086932
6,16.0,1934429.6137119262
7,17.0,1925959.3564366067
8,18.0,1926518.2049260573
9,19.0,1923341.2042850167
10,20.0,1921639.622642739
11,21.0,1921416.5749630935
12,22.0,1920264.354968568
13,23.0,1918658.7840918323
14,24.0,1914959.9651149104
15,25.0,1917287.8722072581
16,26.0,1912916.3333114088
17,27.0,1915947.8366383251
18,28.0,1915118.6694354834
19,29.0,1913290.5267106453
20,30.0,1912003.9922258048
21,31.0,1913219.341045331
22,32.0,1912515.7516070278
23,33.0,1911495.19934404
24,34.0,1913900.332151907
25,35.0,1913558.895940506
26,36.0,1912125.5123555756
27,37.0,1913422.4333482014
28,38.0,1913865.514368734
29,39.0,1912571.991382824
30,40.0,1914789.8628008002
31,41.0,1912749.2872722244
32,42.0,1911026.3231104175
33,43.0,1910648.2221758214
34,44.0,1914234.2254089364
35,45.0,1912909.782608101
36,46.0,1913282.686743791
37,47.0,1912943.6170027067
38,48.0,1913567.0054762205
39,49.0,1913885.4812358082
40,50.0,1912937.4814500466
41,51.0,1913367.4052214376
42,52.0,1916318.6096703256
43,53.0,1914461.5658605269
44,54.0,1914539.2991124135
45,55.0,1917884.0658685146
46,56.0,1918006.2359375756
47,57.0,1918636.829521176
48,58.0,1921232.4082831778
49,59.0,1921690.3181271353
50,60.0,1920369.8867748121
