,N_components,BIC
0,10.0,1952847.209045862
1,11.0,1947032.0388898323
2,12.0,1944427.271560186
3,13.0,1943092.6961647333
4,14.0,1933738.777509071
5,15.0,1934309.477881752
6,16.0,1930457.9207891726
7,17.0,1928436.090529935
8,18.0,1928571.2904451366
9,19.0,1925705.370410274
10,20.0,1925374.7406186697
11,21.0,1921942.6717933281
12,22.0,1919486.6364389646
13,23.0,1918549.7588894225
14,24.0,1921217.3007785082
15,25.0,1918766.391114263
16,26.0,1920689.5242884106
17,27.0,1916590.46881184
18,28.0,1915702.7832872996
19,29.0,1915448.367848578
20,30.0,1914989.1464933017
21,31.0,1916812.0619017745
22,32.0,1915071.905845827
23,33.0,1915361.925229932
24,34.0,1916434.0546617266
25,35.0,1913968.6313969663
26,36.0,1916290.69538795
27,37.0,1916554.7552482772
28,38.0,1915712.9873345026
29,39.0,1915633.4219829321
30,40.0,1916673.986511349
31,41.0,1913984.3477963177
32,42.0,1915016.7738204645
33,43.0,1914738.9815293693
34,44.0,1913846.767273643
35,45.0,1915931.7030049118
36,46.0,1915556.713122553
37,47.0,1916553.8531795603
38,48.0,1914216.4826887571
39,49.0,1916174.16894584
40,50.0,1916015.3460821293
41,51.0,1916535.7707514518
42,52.0,1918183.3431315303
43,53.0,1919981.4034518506
44,54.0,1918798.243607419
45,55.0,1918116.3538631566
46,56.0,1920341.9689490316
47,57.0,1921165.9134362196
48,58.0,1921404.5578115818
49,59.0,1922674.7614127
50,60.0,1922175.560461667
