,N_components,BIC
0,10.0,1952345.9363883042
1,11.0,1950202.3554515007
2,12.0,1945006.0515573514
3,13.0,1939629.9650462738
4,14.0,1936567.5129185298
5,15.0,1934195.5697929724
6,16.0,1929676.1098737728
7,17.0,1929091.933313254
8,18.0,1925089.3130459632
9,19.0,1923321.260883253
10,20.0,1925259.0319844251
11,21.0,1923027.4496482788
12,22.0,1920751.1559848117
13,23.0,1920485.4741637267
14,24.0,1918568.376316806
15,25.0,1916978.7151412286
16,26.0,1916670.5299869238
17,27.0,1916586.666471592
18,28.0,1915219.6579492982
19,29.0,1914485.3989502469
20,30.0,1914440.44329483
21,31.0,1914278.3400205318
22,32.0,1911876.3507895228
23,33.0,1913099.8069648037
24,34.0,1912221.9903701646
25,35.0,1911201.3846359565
26,36.0,1911177.4748706317
27,37.0,1912428.0045287814
28,38.0,1911260.508844111
29,39.0,1909464.3474167322
30,40.0,1910285.203313336
31,41.0,1911344.6761614026
32,42.0,1911388.8698125386
33,43.0,1911935.7265783465
34,44.0,1912661.9506255216
35,45.0,1914419.6974708473
36,46.0,1913575.0999129901
37,47.0,1911635.4400319066
38,48.0,1914100.8145517604
39,49.0,1913305.8018749726
40,50.0,1914466.4848039302
41,51.0,1915412.051605703
42,52.0,1915484.8618436349
43,53.0,1917362.5244414255
44,54.0,1916398.9438583083
45,55.0,1920277.40654211
46,56.0,1919659.0875876318
47,57.0,1920155.793058627
48,58.0,1920561.1392147038
49,59.0,1921836.4563893257
50,60.0,1922429.4352554937
