,N_components,BIC
0,10.0,1953373.3008590105
1,11.0,1950567.437025432
2,12.0,1944352.5661780068
3,13.0,1942073.815603419
4,14.0,1941399.2847873566
5,15.0,1935798.882665634
6,16.0,1934321.2539394458
7,17.0,1932956.4654534212
8,18.0,1932460.1844931454
9,19.0,1926259.2721821892
10,20.0,1924646.9220864365
11,21.0,1924418.4668139492
12,22.0,1924431.8957119912
13,23.0,1924121.3337658676
14,24.0,1921744.2844070871
15,25.0,1921179.692988578
16,26.0,1919942.0627773672
17,27.0,1918938.5462185873
18,28.0,1918520.7529989413
19,29.0,1918680.4517946816
20,30.0,1917328.0831516844
21,31.0,1915919.1384170838
22,32.0,1915563.1980805185
23,33.0,1917481.5834377832
24,34.0,1916189.70501585
25,35.0,1917395.4748704631
26,36.0,1916546.1707051361
27,37.0,1915219.9238102909
28,38.0,1914845.9762212562
29,39.0,1914919.9261864116
30,40.0,1914393.949686913
31,41.0,1915456.8875585925
32,42.0,1915731.3855769553
33,43.0,1915738.850125871
34,44.0,1915491.7619759955
35,45.0,1915321.624058813
36,46.0,1916952.739498334
37,47.0,1918630.8073805824
38,48.0,1918096.636956782
39,49.0,1917604.8010779496
40,50.0,1917335.8565309297
41,51.0,1917591.5339529826
42,52.0,1919304.2161986723
43,53.0,1919067.0069311245
44,54.0,1920838.4235591665
45,55.0,1920298.3946393023
46,56.0,1921124.173209556
47,57.0,1921339.4665380376
48,58.0,1922471.5706421244
49,59.0,1923066.4014412158
50,60.0,1923664.8049723052
