,N_components,BIC
0,10.0,1953366.6819236905
1,11.0,1947371.7457800882
2,12.0,1942970.7064621858
3,13.0,1940304.238773681
4,14.0,1937166.8336206966
5,15.0,1932657.2827104058
6,16.0,1930656.100505386
7,17.0,1930013.4565007016
8,18.0,1927198.7226224886
9,19.0,1925905.7686498633
10,20.0,1925071.096563267
11,21.0,1923322.3743697477
12,22.0,1921850.301548646
13,23.0,1920177.9551562117
14,24.0,1918603.5259822798
15,25.0,1919120.9874397318
16,26.0,1918971.0139837528
17,27.0,1915626.0295190264
18,28.0,1914083.3562127873
19,29.0,1914843.5162848516
20,30.0,1914379.2473287063
21,31.0,1914028.0855312077
22,32.0,1915162.1555054968
23,33.0,1915408.660941133
24,34.0,1915770.5770849024
25,35.0,1913114.178693846
26,36.0,1914518.5007526258
27,37.0,1914161.059677619
28,38.0,1914724.7757496247
29,39.0,1913249.9329463292
30,40.0,1914130.13769499
31,41.0,1915760.9687446451
32,42.0,1915070.8573211282
33,43.0,1915037.3733148347
34,44.0,1915124.622323038
35,45.0,1915905.209474466
36,46.0,1916089.8823757914
37,47.0,1915386.6452224255
38,48.0,1917173.439917916
39,49.0,1918132.4276732139
40,50.0,1917943.6800465684
41,51.0,1920072.2563877818
42,52.0,1918652.4371268677
43,53.0,1917755.490636557
44,54.0,1918269.791318028
45,55.0,1918354.3306520295
46,56.0,1920728.317943831
47,57.0,1920994.4115059054
48,58.0,1922065.1332377922
49,59.0,1922125.85553182
50,60.0,1923034.456357049
