,N_components,BIC
0,10.0,1951501.7365109038
1,11.0,1946890.8894611606
2,12.0,1945070.166563548
3,13.0,1943610.0709859133
4,14.0,1937503.206173427
5,15.0,1936037.7679901498
6,16.0,1928968.6897052508
7,17.0,1928697.1714129485
8,18.0,1925251.6786575282
9,19.0,1925270.0735907538
10,20.0,1923515.4572502363
11,21.0,1921310.5964414417
12,22.0,1918894.2922661398
13,23.0,1917858.5387169328
14,24.0,1918104.906330491
15,25.0,1914857.7442634888
16,26.0,1915389.1692112884
17,27.0,1915018.645600207
18,28.0,1913473.5179389054
19,29.0,1913192.4921783868
20,30.0,1911341.8265641935
21,31.0,1913295.2121549635
22,32.0,1914029.0709857144
23,33.0,1913150.4793528516
24,34.0,1912640.596539169
25,35.0,1911943.1526248425
26,36.0,1913049.6417085044
27,37.0,1911663.3989280374
28,38.0,1912311.8273220614
29,39.0,1912093.8941543903
30,40.0,1912594.1171923352
31,41.0,1910665.9074097464
32,42.0,1911141.33610526
33,43.0,1911393.5294415026
34,44.0,1911585.0381461973
35,45.0,1912938.2113663359
36,46.0,1912902.6528468193
37,47.0,1912009.7675889789
38,48.0,1913217.6409971206
39,49.0,1912834.2137467074
40,50.0,1916143.0007555857
41,51.0,1915193.7888440301
42,52.0,1914108.4991733024
43,53.0,1914489.2168241495
44,54.0,1915911.4799200036
45,55.0,1917666.176572927
46,56.0,1919703.3921983396
47,57.0,1919908.675245428
48,58.0,1921009.2791016204
49,59.0,1922948.2823168759
50,60.0,1921657.2942764282
