,N_components,BIC
0,10.0,1946433.624305091
1,11.0,1942268.1181487548
2,12.0,1942008.4549463384
3,13.0,1939921.3666107191
4,14.0,1935423.3832302836
5,15.0,1931509.2005614908
6,16.0,1928735.615762548
7,17.0,1925749.1734498928
8,18.0,1922959.0608920555
9,19.0,1921581.2240242024
10,20.0,1919983.6507952942
11,21.0,1919568.092458797
12,22.0,1918501.4220798202
13,23.0,1915149.0867924534
14,24.0,1913143.6566946993
15,25.0,1913287.960671006
16,26.0,1914175.8714689575
17,27.0,1912291.0712202906
18,28.0,1912444.3892864494
19,29.0,1912213.5071927942
20,30.0,1910444.6847377478
21,31.0,1911278.641847177
22,32.0,1909309.567699288
23,33.0,1908654.780373926
24,34.0,1908845.3046282672
25,35.0,1908183.4008989648
26,36.0,1909636.858758964
27,37.0,1908847.0494549721
28,38.0,1909405.1766243612
29,39.0,1909015.3174137701
30,40.0,1907667.18950198
31,41.0,1910728.408261944
32,42.0,1910047.316387989
33,43.0,1910489.1129847916
34,44.0,1911483.215523054
35,45.0,1911819.654398384
36,46.0,1911677.826087579
37,47.0,1911919.8151456027
38,48.0,1912370.9564869232
39,49.0,1911842.722801392
40,50.0,1911891.7470486376
41,51.0,1913997.1113241976
42,52.0,1915998.656522792
43,53.0,1914952.159737089
44,54.0,1915187.4449755303
45,55.0,1916060.5319556112
46,56.0,1915782.8912924398
47,57.0,1916513.1834493068
48,58.0,1916439.091263667
49,59.0,1916960.362345825
50,60.0,1917913.1574571182
