,N_components,BIC
0,10.0,1952708.587513688
1,11.0,1950450.7871979887
2,12.0,1943948.987627723
3,13.0,1942769.9863363376
4,14.0,1937752.4595593105
5,15.0,1934854.8817984601
6,16.0,1930890.399803999
7,17.0,1933270.3976085654
8,18.0,1931633.1419344705
9,19.0,1927389.0732246868
10,20.0,1929010.9700254195
11,21.0,1925986.6231364617
12,22.0,1922578.5168015093
13,23.0,1922037.243456214
14,24.0,1922417.4183311926
15,25.0,1920233.3983560626
16,26.0,1921166.458456731
17,27.0,1919790.576114987
18,28.0,1918705.6725486065
19,29.0,1919171.058832293
20,30.0,1918363.9843097518
21,31.0,1916342.383358854
22,32.0,1919114.4766934265
23,33.0,1916835.085322963
24,34.0,1917886.3150935578
25,35.0,1917058.51349425
26,36.0,1915848.2718008868
27,37.0,1914777.2407170483
28,38.0,1914486.2267653295
29,39.0,1915153.8354484565
30,40.0,1914681.735223678
31,41.0,1916830.4903359604
32,42.0,1915252.8469997994
33,43.0,1915539.6424337595
34,44.0,1917019.7691998202
35,45.0,1917492.5442164082
36,46.0,1917691.9833726636
37,47.0,1918008.1134718468
38,48.0,1918356.698884809
39,49.0,1919992.7054645917
40,50.0,1920218.1389539118
41,51.0,1920847.1489160345
42,52.0,1921579.5574514628
43,53.0,1921372.2969548295
44,54.0,1921407.8081539297
45,55.0,1922295.6565242333
46,56.0,1922749.1173348357
47,57.0,1922715.1700616684
48,58.0,1924135.9657288478
49,59.0,1923424.3293503015
50,60.0,1923765.894895726
