,N_components,BIC
0,10.0,1953877.4881370012
1,11.0,1949956.3785203577
2,12.0,1945953.4848402424
3,13.0,1940381.7109765569
4,14.0,1937637.2409328788
5,15.0,1934788.1302418206
6,16.0,1931278.9874723111
7,17.0,1928647.7205579015
8,18.0,1928193.080336824
9,19.0,1925555.48159844
10,20.0,1925586.694970452
11,21.0,1924383.7906015236
12,22.0,1924792.8053429653
13,23.0,1922571.7873443821
14,24.0,1921333.0351788434
15,25.0,1919513.9503305017
16,26.0,1921680.1323651879
17,27.0,1919382.404253402
18,28.0,1919262.3688717142
19,29.0,1916277.649589005
20,30.0,1916896.2688883487
21,31.0,1915606.728263725
22,32.0,1916541.0601535093
23,33.0,1915338.3752907168
24,34.0,1914652.0270846016
25,35.0,1915106.5868817798
26,36.0,1916733.6906048823
27,37.0,1914620.1303888508
28,38.0,1914917.9839389282
29,39.0,1915079.098839083
30,40.0,1915533.9262468633
31,41.0,1915524.817335731
32,42.0,1916199.1039265844
33,43.0,1915768.5830666302
34,44.0,1916424.1342552754
35,45.0,1916388.5548330587
36,46.0,1917135.3389451378
37,47.0,1916899.9953503434
38,48.0,1917797.5227436735
39,49.0,1919277.6521273132
40,50.0,1918316.3684504768
41,51.0,1918648.0455419174
42,52.0,1918484.4501605874
43,53.0,1920809.6890429042
44,54.0,1920317.0056324862
45,55.0,1920577.6571004647
46,56.0,1921680.2544105344
47,57.0,1920839.7981381107
48,58.0,1922439.3088765217
49,59.0,1924309.670516251
50,60.0,1923718.4830373956
