,N_components,BIC
0,10.0,1952151.0291895813
1,11.0,1942942.9454065505
2,12.0,1944776.2896631167
3,13.0,1941912.526268323
4,14.0,1935133.845780689
5,15.0,1933185.0947290207
6,16.0,1928796.64310085
7,17.0,1927868.1055834761
8,18.0,1926171.2648785664
9,19.0,1925598.243023846
10,20.0,1924228.400552413
11,21.0,1921437.2372677987
12,22.0,1920448.6181158896
13,23.0,1918128.0273622638
14,24.0,1920322.9534465668
15,25.0,1917475.818819566
16,26.0,1915612.4412052776
17,27.0,1916065.1667896116
18,28.0,1916471.3619758168
19,29.0,1916472.5032072484
20,30.0,1917280.4501467904
21,31.0,1915866.114503972
22,32.0,1915674.141254304
23,33.0,1914682.6794268023
24,34.0,1914414.3510926513
25,35.0,1915223.7281841903
26,36.0,1915086.808916063
27,37.0,1913877.3442693984
28,38.0,1912932.483160556
29,39.0,1912569.379334202
30,40.0,1913009.853726259
31,41.0,1913892.753333333
32,42.0,1914195.3380003732
33,43.0,1913419.476672368
34,44.0,1914499.474886621
35,45.0,1916019.9382188397
36,46.0,1916016.5505044074
37,47.0,1916499.0769140343
38,48.0,1916299.320920547
39,49.0,1914574.2481342726
40,50.0,1916858.6749066792
41,51.0,1917051.0680497382
42,52.0,1916794.2267746283
43,53.0,1917328.9921407874
44,54.0,1915805.5035603829
45,55.0,1918949.0502915848
46,56.0,1919476.5656520368
47,57.0,1919559.1174526606
48,58.0,1919718.5109936728
49,59.0,1922590.118949315
50,60.0,1922518.3606697964
