,N_components,BIC
0,10.0,1953165.8940447704
1,11.0,1949261.2358341038
2,12.0,1946830.7356434492
3,13.0,1944954.5355316466
4,14.0,1939934.7584798958
5,15.0,1938536.8408004853
6,16.0,1936674.1698215608
7,17.0,1933345.6847536967
8,18.0,1932115.0796717275
9,19.0,1929734.6876297516
10,20.0,1926079.9898745446
11,21.0,1925335.6743045314
12,22.0,1923737.396424495
13,23.0,1922641.8160965901
14,24.0,1925602.2978561497
15,25.0,1920524.3001375769
16,26.0,1920355.3001472023
17,27.0,1919019.1064843438
18,28.0,1920051.9379020375
19,29.0,1920064.8968559995
20,30.0,1919444.025758076
21,31.0,1918450.1195138283
22,32.0,1918878.5581050457
23,33.0,1917117.0809988421
24,34.0,1918422.5804486726
25,35.0,1918772.8286915072
26,36.0,1917565.9328805725
27,37.0,1917053.6020970645
28,38.0,1915883.1661208533
29,39.0,1918439.5086270543
30,40.0,1917839.074689757
31,41.0,1915855.313326532
32,42.0,1915793.5852291428
33,43.0,1918620.1215604085
34,44.0,1918413.2315451833
35,45.0,1917499.5411097675
36,46.0,1918740.039324973
37,47.0,1918340.282502093
38,48.0,1919547.6020407341
39,49.0,1921785.568958406
40,50.0,1921733.636784247
41,51.0,1922900.7282169454
42,52.0,1921672.2193970177
43,53.0,1921996.8908324307
44,54.0,1923841.4847077841
45,55.0,1924071.2293838677
46,56.0,1923674.6696079585
47,57.0,1923800.090918132
48,58.0,1925576.4770810346
49,59.0,1925818.7249417473
50,60.0,1925753.4189916837
