,N_components,BIC
0,10.0,1954074.576768631
1,11.0,1948256.83041339
2,12.0,1942865.3303158446
3,13.0,1942400.5716725262
4,14.0,1937771.2728362693
5,15.0,1934165.6761211224
6,16.0,1928488.2184920711
7,17.0,1930058.5890051848
8,18.0,1926028.2269359182
9,19.0,1927582.8652801535
10,20.0,1927554.1902931493
11,21.0,1922715.1138643483
12,22.0,1921168.545640056
13,23.0,1919378.607735762
14,24.0,1920456.5155809652
15,25.0,1919227.0263036771
16,26.0,1917371.5675615622
17,27.0,1917792.9357204577
18,28.0,1917042.0814590883
19,29.0,1916666.2005972941
20,30.0,1917484.2709463378
21,31.0,1915563.953531607
22,32.0,1917621.443107413
23,33.0,1916694.6107053424
24,34.0,1916602.3330692383
25,35.0,1917708.402583712
26,36.0,1916540.9130646868
27,37.0,1916791.520026597
28,38.0,1916600.8420477225
29,39.0,1917307.5273024624
30,40.0,1916746.2055462576
31,41.0,1916802.5590900686
32,42.0,1916108.2199046433
33,43.0,1916933.2492812905
34,44.0,1918059.4955644675
35,45.0,1917494.4811698082
36,46.0,1918199.172752688
37,47.0,1918346.4535726665
38,48.0,1918499.9691707976
39,49.0,1918341.757273346
40,50.0,1918124.9251390612
41,51.0,1918257.5221951285
42,52.0,1919527.6286423476
43,53.0,1919436.5726279854
44,54.0,1919885.8459945957
45,55.0,1921186.785088902
46,56.0,1921258.1014031677
47,57.0,1921343.6026231705
48,58.0,1922848.18314386
49,59.0,1924346.293567642
50,60.0,1923510.5765928829
