,N_components,BIC
0,10.0,1950552.3483469423
1,11.0,1952940.0955211432
2,12.0,1946124.4710199984
3,13.0,1945352.938999121
4,14.0,1937706.7474748238
5,15.0,1937021.6641386303
6,16.0,1932292.8286599694
7,17.0,1931268.9774819887
8,18.0,1928389.0796729364
9,19.0,1927450.4811487135
10,20.0,1926198.462024118
11,21.0,1924700.4399191155
12,22.0,1922153.4806447844
13,23.0,1922573.961834179
14,24.0,1921031.9125044572
15,25.0,1922811.0636696795
16,26.0,1921380.4566366484
17,27.0,1921398.7670639288
18,28.0,1919290.2798090433
19,29.0,1918691.8636699587
20,30.0,1919356.9887612197
21,31.0,1918543.879141475
22,32.0,1920188.3758458782
23,33.0,1916326.0022153573
24,34.0,1917281.175382527
25,35.0,1916143.8564404256
26,36.0,1915644.5764606688
27,37.0,1917364.825510641
28,38.0,1919327.9917394686
29,39.0,1918225.9092030483
30,40.0,1918885.3340129456
31,41.0,1918204.5719032474
32,42.0,1918056.3506757244
33,43.0,1917290.121987112
34,44.0,1915761.7293592044
35,45.0,1916231.758964519
36,46.0,1918161.524005302
37,47.0,1918753.0920036202
38,48.0,1918684.3182431245
39,49.0,1917488.0557442452
40,50.0,1918373.096025393
41,51.0,1918961.880293949
42,52.0,1920097.7741778845
43,53.0,1921988.6891047342
44,54.0,1921412.652795842
45,55.0,1921989.4276632736
46,56.0,1921803.7627878133
47,57.0,1923764.3204352197
48,58.0,1924514.7656118448
49,59.0,1923739.7009148542
50,60.0,1925389.5628050116
