,N_components,BIC
0,10.0,1952944.904068599
1,11.0,1947500.7017124186
2,12.0,1943247.1021534698
3,13.0,1940120.3729082346
4,14.0,1936444.5734399566
5,15.0,1933232.983308594
6,16.0,1931048.404224221
7,17.0,1929803.4852382212
8,18.0,1927995.479690611
9,19.0,1927550.101622608
10,20.0,1925743.9850921894
11,21.0,1924937.7890089147
12,22.0,1922882.2255837223
13,23.0,1922379.7657912783
14,24.0,1920203.4762666044
15,25.0,1920336.5804952802
16,26.0,1922569.8549933142
17,27.0,1918503.988417067
18,28.0,1918605.2323644985
19,29.0,1917343.6202548076
20,30.0,1918038.8339313741
21,31.0,1917970.1394543773
22,32.0,1919938.6596597915
23,33.0,1916310.1074251956
24,34.0,1915412.477356264
25,35.0,1915576.0674833013
26,36.0,1915480.980061356
27,37.0,1914743.3434972658
28,38.0,1914254.429143673
29,39.0,1913820.976916703
30,40.0,1913389.2819573265
31,41.0,1916027.1746697933
32,42.0,1914971.265474527
33,43.0,1917622.5448206067
34,44.0,1916326.4822360107
35,45.0,1916213.9123897646
36,46.0,1918684.0718416707
37,47.0,1919221.5879752748
38,48.0,1918653.7198603228
39,49.0,1919135.4488650295
40,50.0,1921012.2287858808
41,51.0,1920415.0234687645
42,52.0,1919672.9246158942
43,53.0,1920447.1585308122
44,54.0,1919721.2618313127
45,55.0,1921299.9130182676
46,56.0,1922983.7966044934
47,57.0,1923522.3288265744
48,58.0,1924441.0172293978
49,59.0,1925139.0245933447
50,60.0,1924622.7814164676
