,N_components,BIC
0,10.0,1946478.758753039
1,11.0,1940816.823739215
2,12.0,1940537.003978528
3,13.0,1942914.4495588064
4,14.0,1936480.8058988259
5,15.0,1934077.1290967509
6,16.0,1931916.5015347668
7,17.0,1928826.8773769613
8,18.0,1926342.09072677
9,19.0,1922959.6479793198
10,20.0,1921079.2776126754
11,21.0,1920249.974368551
12,22.0,1916562.0090485078
13,23.0,1916844.8417385756
14,24.0,1915545.6067158498
15,25.0,1914653.1595325067
16,26.0,1912973.2561437513
17,27.0,1915065.028445176
18,28.0,1915258.4100000157
19,29.0,1915124.4619433132
20,30.0,1913548.62751338
21,31.0,1912126.4573984768
22,32.0,1911981.1384258782
23,33.0,1912328.3093733846
24,34.0,1914022.2473692102
25,35.0,1915249.046993852
26,36.0,1913749.7913540278
27,37.0,1914247.1493081627
28,38.0,1914942.1441581517
29,39.0,1915079.6304791416
30,40.0,1913793.6591772514
31,41.0,1914056.6900148431
32,42.0,1914935.478849112
33,43.0,1914901.1246922622
34,44.0,1915433.541427139
35,45.0,1913967.2916295633
36,46.0,1914517.879938981
37,47.0,1915573.5864143583
38,48.0,1917056.8231847952
39,49.0,1915543.551696829
40,50.0,1915517.2316530158
41,51.0,1918943.6061244428
42,52.0,1917278.4613520063
43,53.0,1916481.9964811192
44,54.0,1917249.1874705306
45,55.0,1919905.6242431244
46,56.0,1919612.8771335762
47,57.0,1919544.2816682484
48,58.0,1918802.8027797644
49,59.0,1919964.7087677661
50,60.0,1921836.5100968631
