,N_components,BIC
0,10.0,1949838.005482531
1,11.0,1945313.8644174605
2,12.0,1941319.5323384807
3,13.0,1942516.3234653554
4,14.0,1937780.7795305464
5,15.0,1932690.9704870426
6,16.0,1933629.8904947736
7,17.0,1931213.9685175056
8,18.0,1928252.3504775635
9,19.0,1924536.632572575
10,20.0,1923460.0383169716
11,21.0,1924774.9253612084
12,22.0,1923800.0498354998
13,23.0,1920925.2888901555
14,24.0,1918782.4094522682
15,25.0,1919053.215976049
16,26.0,1917916.4634966864
17,27.0,1917056.7500711563
18,28.0,1916899.1451281726
19,29.0,1915689.1919777358
20,30.0,1916908.3226429354
21,31.0,1916802.7748814959
22,32.0,1915897.4000581303
23,33.0,1914877.0327951082
24,34.0,1915864.2114294972
25,35.0,1914926.564281705
26,36.0,1913895.746336763
27,37.0,1917706.806821359
28,38.0,1916213.0589251025
29,39.0,1917193.1381620886
30,40.0,1917205.9811760578
31,41.0,1915659.871553444
32,42.0,1915402.5377154965
33,43.0,1915888.916811697
34,44.0,1914954.65207559
35,45.0,1914594.444440828
36,46.0,1917898.03907476
37,47.0,1918394.2341739666
38,48.0,1918009.4108744417
39,49.0,1918074.4962511596
40,50.0,1918114.344109888
41,51.0,1917058.8244721896
42,52.0,1918706.4789425514
43,53.0,1919831.060477875
44,54.0,1918566.9692009366
45,55.0,1920087.7709647473
46,56.0,1921357.2625223303
47,57.0,1923289.5881325437
48,58.0,1923137.8918431115
49,59.0,1924480.0065422426
50,60.0,1925733.1683643511
