,N_components,BIC
0,10.0,1951547.9864327097
1,11.0,1948550.239192151
2,12.0,1941040.0953585412
3,13.0,1939121.2378943474
4,14.0,1933726.4193670547
5,15.0,1931011.239509501
6,16.0,1929342.6286103246
7,17.0,1927715.837999209
8,18.0,1924676.0455854163
9,19.0,1922482.3787975316
10,20.0,1921951.7502540331
11,21.0,1918842.575806152
12,22.0,1920586.5552758921
13,23.0,1917913.160574769
14,24.0,1915857.7012537704
15,25.0,1916732.9281635673
16,26.0,1916749.8346801952
17,27.0,1914256.8544452966
18,28.0,1913835.471467301
19,29.0,1914205.5670292021
20,30.0,1912974.8263680327
21,31.0,1913975.4696708051
22,32.0,1914737.9506371089
23,33.0,1912031.7865988999
24,34.0,1912103.385547423
25,35.0,1911461.663579199
26,36.0,1912757.581314684
27,37.0,1912313.476868423
28,38.0,1911659.2719945458
29,39.0,1910761.4350426313
30,40.0,1910426.2589060853
31,41.0,1913053.3050136836
32,42.0,1910948.6840612208
33,43.0,1912393.033827303
34,44.0,1913119.8156423736
35,45.0,1914216.4311574018
36,46.0,1913801.8757254044
37,47.0,1914165.4152386892
38,48.0,1914606.03269273
39,49.0,1914345.643377416
40,50.0,1915513.458218098
41,51.0,1915113.7302830515
42,52.0,1915181.136679359
43,53.0,1915851.5637369722
44,54.0,1916212.5165903182
45,55.0,1919042.8361125716
46,56.0,1919184.2873418767
47,57.0,1919107.7915014036
48,58.0,1918173.7044275175
49,59.0,1920817.6215470643
50,60.0,1920759.0853044123
