,N_components,BIC
0,10.0,1951565.231992837
1,11.0,1954711.9277894949
2,12.0,1946989.441366979
3,13.0,1945751.2169372304
4,14.0,1943632.7856189855
5,15.0,1938285.464059412
6,16.0,1938497.531288455
7,17.0,1932614.5727801616
8,18.0,1935551.1650144064
9,19.0,1932425.0949487288
10,20.0,1931966.9910368142
11,21.0,1927662.3363918709
12,22.0,1927014.254823423
13,23.0,1925148.0876476853
14,24.0,1924582.4199238892
15,25.0,1923947.7892049837
16,26.0,1921831.085732127
17,27.0,1921550.1961506284
18,28.0,1920251.9603668528
19,29.0,1921610.7847421698
20,30.0,1919387.5355289278
21,31.0,1919521.9181140654
22,32.0,1920905.7521048868
23,33.0,1919175.9790545886
24,34.0,1919123.0685622173
25,35.0,1918761.314709698
26,36.0,1917122.0897167441
27,37.0,1918107.248621307
28,38.0,1916855.2217709706
29,39.0,1916044.2473953485
30,40.0,1915282.3138681632
31,41.0,1916157.390760261
32,42.0,1916558.4266452224
33,43.0,1918830.4929532737
34,44.0,1918176.8876646939
35,45.0,1918505.2561291473
36,46.0,1917704.5650756808
37,47.0,1919370.3878033455
38,48.0,1918303.4251165022
39,49.0,1920635.331662628
40,50.0,1919963.758226072
41,51.0,1918829.7151518096
42,52.0,1919496.7460925474
43,53.0,1923674.7681209426
44,54.0,1923820.2547588842
45,55.0,1923537.095147664
46,56.0,1921899.5231411105
47,57.0,1925122.0507826647
48,58.0,1926070.4922590575
49,59.0,1926590.8183585696
50,60.0,1927477.6556055062
