,N_components,BIC
0,10.0,1952545.3669386948
1,11.0,1948649.8997368822
2,12.0,1948049.8523739625
3,13.0,1944117.0791090452
4,14.0,1939628.6041444924
5,15.0,1936960.0103141675
6,16.0,1935370.3524284568
7,17.0,1932936.97468684
8,18.0,1930242.520278929
9,19.0,1930869.7952604676
10,20.0,1926634.2752718695
11,21.0,1923080.115501476
12,22.0,1921130.3163049438
13,23.0,1920972.052888532
14,24.0,1919860.7961438014
15,25.0,1922022.7622408592
16,26.0,1919880.147403753
17,27.0,1918155.5040090668
18,28.0,1918019.0953975301
19,29.0,1919070.8437301882
20,30.0,1918564.862489226
21,31.0,1918453.9491300245
22,32.0,1917744.9465521588
23,33.0,1916927.7030238379
24,34.0,1916051.5682439967
25,35.0,1918442.5969560707
26,36.0,1916622.5710473808
27,37.0,1915800.138292398
28,38.0,1916911.1535094366
29,39.0,1917677.043196131
30,40.0,1917620.1646603046
31,41.0,1917148.2254427657
32,42.0,1916678.4984069436
33,43.0,1916968.8837447676
34,44.0,1916563.1859654535
35,45.0,1917156.4029453679
36,46.0,1917151.220531496
37,47.0,1919087.3251737999
38,48.0,1918484.049136459
39,49.0,1918317.5947545574
40,50.0,1919822.7571240768
41,51.0,1918726.841534034
42,52.0,1918788.52530154
43,53.0,1920312.7764122577
44,54.0,1920477.1943332956
45,55.0,1921413.4539915472
46,56.0,1922270.064223944
47,57.0,1923617.7703480744
48,58.0,1924030.893782228
49,59.0,1925101.991542779
50,60.0,1924964.789236043
