,N_components,BIC
0,10.0,1955276.25847818
1,11.0,1945500.6996483319
2,12.0,1941721.1423748608
3,13.0,1941693.8928646892
4,14.0,1937843.9373776212
5,15.0,1935814.5792529616
6,16.0,1932870.7773328612
7,17.0,1932341.3728675086
8,18.0,1929605.322981803
9,19.0,1926208.501505624
10,20.0,1923877.3967036263
11,21.0,1921618.109129145
12,22.0,1922103.0556271197
13,23.0,1919110.3065653935
14,24.0,1918369.6053635513
15,25.0,1919058.2702794378
16,26.0,1920578.4182548183
17,27.0,1916084.7061667147
18,28.0,1916796.5341319025
19,29.0,1914293.9280904373
20,30.0,1915431.6131812541
21,31.0,1916561.316922769
22,32.0,1915514.3188972094
23,33.0,1917552.5319058981
24,34.0,1918167.468040581
25,35.0,1914643.0230965673
26,36.0,1914558.1686345113
27,37.0,1913758.6160710952
28,38.0,1913897.310262983
29,39.0,1914602.3945807135
30,40.0,1913892.700947304
31,41.0,1915164.036191385
32,42.0,1915024.7462105001
33,43.0,1914787.6399314126
34,44.0,1915984.2843164227
35,45.0,1916757.4022879116
36,46.0,1916002.8995712488
37,47.0,1915863.1211638849
38,48.0,1917734.8852015543
39,49.0,1918424.1367303468
40,50.0,1917586.068645929
41,51.0,1918503.2487645084
42,52.0,1919089.2410951427
43,53.0,1918478.1809702828
44,54.0,1918881.4402530887
45,55.0,1921571.1003468374
46,56.0,1922847.823706496
47,57.0,1922716.4701586363
48,58.0,1924447.1946899781
49,59.0,1924890.6204423946
50,60.0,1924754.0547153011
