genus,family,order,group,accepted_bin,mono_fern
Abarema,Leguminosae,Fabales,Angiosperms,Abarema longipedunculata,FALSE
Abarema,Leguminosae,Fabales,Angiosperms,Abarema macradenia,FALSE
Abarema,Leguminosae,Fabales,Angiosperms,Abarema mataybifolia,FALSE
Abarema,Leguminosae,Fabales,Angiosperms,Abarema microcalyx,FALSE
Abarema,Leguminosae,Fabales,Angiosperms,Abarema nipensis,FALSE
Abarema,Leguminosae,Fabales,Angiosperms,Abarema obovalis,FALSE
Abarema,Leguminosae,Fabales,Angiosperms,Abarema obovata,FALSE
Abarema,Leguminosae,Fabales,Angiosperms,Abarema oppositifolia,FALSE
Abarema,Leguminosae,Fabales,Angiosperms,Abarema oxyphyllidia,FALSE
Abarema,Leguminosae,Fabales,Angiosperms,Abarema piresii,FALSE
Abarema,Leguminosae,Fabales,Angiosperms,Abarema racemiflora,FALSE
Abarema,Leguminosae,Fabales,Angiosperms,Abarema turbinata,FALSE
Abarema,Leguminosae,Fabales,Angiosperms,Abarema villifera,FALSE
Abarema,Leguminosae,Fabales,Angiosperms,Abarema villosa,FALSE
Archidendron,Leguminosae,Fabales,Angiosperms,Archidendron clypearia,FALSE
Abatia,Salicaceae,Malpighiales,Angiosperms,Abatia mexicana,FALSE
Abatia,Salicaceae,Malpighiales,Angiosperms,Abatia parviflora,FALSE
Abatia,Salicaceae,Malpighiales,Angiosperms,Abatia rugosa,FALSE
Abatia,Salicaceae,Malpighiales,Angiosperms,Abatia spicata,FALSE
Barringtonia,Lecythidaceae,Ericales,Angiosperms,Barringtonia chaniana,FALSE
Barringtonia,Lecythidaceae,Ericales,Angiosperms,Barringtonia maxwelliana,FALSE
Abeliophyllum,Oleaceae,Lamiales,Angiosperms,Abeliophyllum distichum,FALSE
Duguetia,Annonaceae,Magnoliales,Angiosperms,Duguetia argentea,FALSE
Abies,Pinaceae,Pinales,Gymnosperms,Abies amabilis,FALSE
Abies,Pinaceae,Pinales,Gymnosperms,Abies balsamea,FALSE
Abies,Pinaceae,Pinales,Gymnosperms,Abies alba,FALSE
Abies,Pinaceae,Pinales,Gymnosperms,Abies beshanzuensis,FALSE
