accepted_bin,Bark thickness,Leaf K per mass,Leaf N per mass,Leaf P per mass,Leaf Vcmax per dry mass,Leaf area,Leaf density,Leaf thickness,Seed dry mass,Specific leaf area,Stem conduit diameter,Stomatal conductance,Wood density
Abarema barbouriana,,,,,,,,,,,,,-0.9077582639040339
Abarema brachystachya,,,3.414442608412176,,,,,,,,,,-0.6201710214824738
Abarema jupunba,1.8984292035403532,1.028761906767029,3.2655658963201097,-0.3482928944555921,,,-1.0024233890546523,-1.534857884094974,5.0276248814143205,2.713957343038623,,,-0.5189080511845818
Abarema laeta,,,3.885377373898037,,,,,,,3.039839174998801,,,
Abarema macradenia,,,3.1525184307435983,,,9.713234625415893,-0.5034803448056157,-1.5371172508544746,4.499809670330265,2.1185503372667633,,,-0.8247796184836259
Abarema mataybifolia,1.791759469228055,1.279822116609374,3.363234724359316,-0.1294607266074937,,,-0.8809441519016091,-1.2087122455460122,,2.5208375511139396,,,-0.7311166445333699
Abarema microcalyx,,,2.8507065015037334,,,,,-0.8000340051804005,3.8199077165203406,,,,
Abarema piresii,,,3.144077956858675,-0.4155154439616658,,,,,,,,,
Abatia parviflora,,,3.1884229942160345,0.6148202755372569,,,,-1.4696759700589417,,,,,
Abies alba,,1.9578938566915942,2.4802569262291714,0.15338004965451374,,2.6619381587748,-1.478062666954361,-0.6330040859355236,3.945926425420698,1.859745202752679,2.8050866822580827,,-0.6825450072176003
Abies amabilis,2.0149030205422647,,2.421117640702599,0.17556872018552708,,,,,3.7922826779514356,2.479412188414834,,,-0.8918956497894391
Abies balsamea,2.0149030205422647,1.5492916513659578,2.6618391393403744,0.17658793374537052,-0.8917918993914608,3.5323061911169567,,,1.9586630594584942,2.0820552932304497,2.9800327080826405,3.980170762984222,-0.7692454582408149
Abies bracteata,2.0149030205422647,,,,,,,,3.575430761606357,,,,
Abies cephalonica,2.0149030205422647,,2.5329088414049004,,,,-1.0166760821053975,-0.7644131602260426,4.268717949166882,1.8706007439980965,,,
Abies chensiensis,2.0149030205422647,,,,,,,,,,,,
Abies cilicica,2.0149030205422647,,,,,,,,4.7482310288287435,,,,
Abies concolor,2.2651139348057088,,2.549763938059604,0.2225292503121158,,1.6094379124341003,-1.4267635878310407,-0.5298224274193172,3.290691794277278,1.4629475212502432,,,-0.9111577614597369
Abies delavayi,2.0149030205422647,,,,,,,,,,,,-0.8419095481027518
Abies densa,2.0149030205422647,,,,,,,,,,,,
Abies durangensis,2.0149030205422647,,,,,,,,,,,,
Abies fabri,,,,,,,,,,,,,-0.9866783255340534
Abies fargesii,,,,-0.008580551125627741,,,,,,,,,-1.0168335601474523
Abies firma,,,2.3978952727983707,,,,,,3.691541074870383,1.6953930837190991,,,
Abies forrestii,2.0149030205422647,,,,,,,,,,,,-0.9081932210178113
Abies fraseri,2.0149030205422647,,2.8813692125987576,0.538835131600497,,3.1268410735066334,-0.4964232780041439,-0.5455949523934888,1.963646738823722,1.7327034213420556,,,
Abies grandis,2.0149030205422647,,2.397070982604624,0.39422868018213514,,,-1.0686878929050267,-0.7516846562635533,2.9268933711964977,2.0531014101831464,2.8805640989662313,,-0.8025317661781022
Abies guatemalensis,2.0149030205422647,,,,,,,,3.6888794541139363,,,,-0.843970070294529
Abies holophylla,,,,,,,,,,,,,-1.0589303007231898
Abies homolepis,2.0149030205422647,,,,,,,,2.838321312962109,,,,
Abies kawakamii,2.0149030205422647,,,,,,,,,,,,
Abies koreana,,,,,,,,,2.302585092994046,,,,
Abies lasiocarpa,1.939511180286652,,2.5933395365277976,0.28470895118226264,-2.8270026702795032,,,-0.25482703654447825,2.875258764586303,1.679089400030772,2.563712736408606,4.394449154672439,-1.0291554475315
Abies magnifica,3.8066624897703196,,,,,,,,4.335797607021268,,,,-0.9188841276471427
Abies mariesii,2.0149030205422647,,,,,,,,3.21551748116556,,,,
Abies nephrolepis,2.0149030205422647,,2.343561921071523,-0.0628468945514342,,,,,,,,,-1.1293932831720208
Abies nordmanniana,2.0149030205422647,,,,,,,-0.5287751849154616,4.288640058636881,,3.3951461505886513,,-0.8906936347306804
Abies numidica,2.0149030205422647,,,,,,,,3.503152104185149,,,,
Abies pindrow,2.0149030205422647,,,,,,,,2.9085390618516134,,,,-0.9675840262617056
Abies pinsapo,2.0149030205422647,,,,,,,,4.012722613168912,1.2160622321645151,2.5492687650057357,,-0.7679022283033745
Abies procera,2.0149030205422647,,2.507645552816225,,,,-0.7493330322401109,-0.8471481316970112,3.515507130644309,2.369763059028245,,,-0.955271502609011
Abies recurvata,,,,,,,,,,,,,-1.0216512475319814
Abies religiosa,3.121005786861041,,,,,,,,3.34533224882076,,,,-0.9675840262617056
Abies sachalinensis,,1.7664416612437617,2.305171592178042,0.8754687373538999,,,,,2.260490847591381,1.960266397584999,,,
Abies sibirica,,,,,,,,,2.302585092994046,,,,
Abies spectabilis,,,,0.5481214085096875,,,,,3.6119984097779785,,,,
Abies veitchii,2.0149030205422647,,,,,,,,2.183125170208664,,,,
Abies vejarii,,,,,,,,,2.995732273553991,,,,
Abies ziyuanensis,2.0149030205422647,,,,,,,,,,,,
Abrahamia ditimena,,,,,,,,,,,,,-0.3885309491470716
Abuta grandifolia,,,3.1572425876774077,0.2057854880351821,,,,,7.047517221357296,2.486078840817642,,,
Abuta rufescens,,,2.800593249305593,-0.2997103421807587,-1.4549632096078216,,,,,1.7222621969310339,,4.907195531787201,-0.7985076962177716
Abutilon incanum,,,3.5536323047059106,,,5.771396788011716,,,1.304418680480448,2.998589321020382,,,
Abutilon sylvaticum,,,,,,,,,2.1412419425852827,,,,
Acacia acradenia,,,,,,,,,2.0542881380369886,,,,-0.10087061038497423
Acacia acrionastes,,,,,,,,,3.01651481273652,,,,
Acacia acuifera,,,,,,,,,2.7285062096695922,,,,
Acacia acuminata,,,,,,,,,2.855437310301593,0.673508195545637,,,-0.05158076481313425
Acacia adsurgens,,,,,,,,,2.0073112800065007,,,,-0.12010197231286183
Acacia adunca,,,,,,,,,3.1675802387526715,,,,
Acacia aestivalis,,,,,,,,,4.710340683593631,,,,
Acacia alleniana,,,,,,,,,,,,,-0.5804436906468605
Acacia amentacea,,,,,,,,,3.2016289894921877,,,,
Acacia ammobia,,,,,,,,,2.0844361192038203,,,,
Acacia ampliceps,,,,,,,,,3.2771447329921766,,,,-0.5651762185160721
Acacia ancistrocarpa,,,,,,,,,3.6404221290581855,,,,
Acacia anegadensis,,,,,,,,,2.9871959425317045,,,,
Acacia aneura,,,2.9476376383739424,-0.4798295233970265,-1.6111226641649716,,,,2.971516596079238,0.9667096769333868,,3.909571005358554,-0.023624235025176202
Acacia anfractuosa,,,,,,,,,1.3217558399823195,,,,
