,accepted_bin
0,Abarema abbottii
1,Abarema acreana
2,Abarema alexandri
3,Abarema asplenifolia
4,Abarema auriculata
5,Abarema barbouriana
6,Abarema barnebyana
7,Abarema brachystachya
8,Abarema callejasii
9,Abarema campestris
10,Abarema centiflora
11,Abarema cochleata
12,Abarema cochliocarpos
13,Abarema commutata
14,Abarema curvicarpa
15,Abarema ferruginea
16,Abarema filamentosa
17,Abarema floribunda
18,Abarema gallorum
19,Abarema ganymedea
20,Abarema glauca
21,Abarema idiopoda
22,Abarema josephi
23,Abarema jupunba
24,Abarema killipii
25,Abarema laeta
26,Abarema lehmannii
27,Abarema leucophylla
28,Abarema levelii
29,Abarema limae
30,Abarema longipedunculata
31,Abarema macradenia
32,Abarema mataybifolia
33,Abarema microcalyx
34,Abarema nipensis
35,Abarema obovalis
36,Abarema oppositifolia
37,Abarema oxyphyllidia
38,Abarema piresii
39,Abarema racemiflora
40,Abarema turbinata
41,Abarema villifera
42,Abarema villosa
43,Archidendron clypearia
44,Abatia mexicana
45,Abatia parviflora
46,Abatia rugosa
47,Abatia spicata
48,Barringtonia chaniana
49,Barringtonia maxwelliana
50,Duguetia argentea
51,Abrahamia deflexa
52,Abrahamia ditimena
53,Abrahamia grandidieri
54,Abrahamia humbertii
55,Abrahamia latifolia
56,Abrahamia lecomtei
57,Abrahamia louvelii
58,Abrahamia oblongifolia
59,Abrahamia sericea
60,Abrahamia thouvenotii
61,Abrahamia viguieri
62,Abroma augusta
63,Abuta grandifolia
64,Abuta imene
65,Abuta panurensis
66,Abuta rufescens
67,Abuta sandwithiana
68,Abuta velutina
69,Abutilon giganteum
70,Abutilon grandidentatum
71,Abutilon haenkeanum
72,Abutilon herzogianum
73,Abutilon incanum
74,Abutilon leonardii
75,Abutilon pictum
76,Abutilon purpusii
77,Abutilon sachetianum
78,Abutilon sylvaticum
79,Abutilon stenopetalum
80,Abutilon thyrsodendron
81,Bastardiopsis turumiquirensis
82,Bakeridesia integerrima
83,Acacia adunca
84,Acacia acradenia
85,Acacia acrionastes
86,Acacia acuifera
87,Acacia acuminata
88,Acacia adsurgens
89,Acacia aestivalis
90,Faidherbia albida
91,Acacia alleniana
92,Acacia amblyophylla
93,Acacia amentacea
94,Acacia ammobia
95,Acacia ammophila
96,Acacia ampliata
97,Acacia ampliceps
98,Acacia anastema
99,Acacia anaticeps
100,Acacia ancistrocarpa
101,Acacia anegadensis
102,Acacia aneura
103,Acacia anfractuosa
104,Acacia angusta
105,Acacia angustissima
106,Acacia anisophylla
107,Acacia anthochaera
108,Acacia aprepta
109,Acacia paraneura
110,Acacia arafurica
111,Acacia araneosa
112,Racosperma areolatum
113,Acacia argyraea
114,Acacia argyrodendron
115,Acacia paradoxa
116,Acacia armillata
117,Acacia armitii
118,Acacia assimilis
119,Acacia atopa
120,Acacia attenuata
121,Acacia aulacocarpa
122,Acacia auriculiformis
123,Acacia auripila
124,Acacia ausfeldii
125,Acacia ayersiana
126,Acacia baileyana
127,Acacia bakeri
128,Acacia bancroftiorum
129,Acacia barrettiorum
130,Acacia beauverdiana
131,Acacia binervata
132,Acacia binervia
133,Acacia blakei
134,Acacia blakelyi
135,Acacia blayana
136,Acacia terminalis
137,Acacia brachystachya
138,Acacia brassii
139,Acacia brockii
140,Acacia bromilowiana
141,Acacia brumalis
142,Acacia bulgaensis
143,Acacia burrowii
144,Acacia burrowsiana
145,Acacia caerulescens
146,Acacia caesiella
147,Acacia calamifolia
148,Acacia calcicola
149,Acacia cambagei
150,Acacia cana
151,Acacia cangaiensis
152,Acacia cardiophylla
153,Acacia carneorum
154,Acacia caroleae
155,Acacia catenulata
156,Acacia celastrifolia
157,Racosperma celsum
158,Acacia chartacea
159,Acacia cheelii
160,Acacia chrysotricha
161,Acacia cincinnata
162,Acacia citrinoviridis
163,Acacia clunies-rossiae
164,Acacia cockertoniana
165,Acacia cognata
166,Acacia colei
167,Acacia colletioides
168,Acacia complanata
169,Acacia concurrens
170,Acacia conferta
171,Acacia confusa
172,Acacia conniana
173,Acacia conspersa
174,Acacia constricta
175,Acacia convallium
176,Acacia coolgardiensis
177,Acacia coriacea
178,Acacia courtii
179,Acacia covenyi
180,Acacia cowaniana
181,Acacia cowleana
182,Acacia craspedocarpa
183,Acacia crassa
184,Acacia crassicarpa
185,Acacia crenulata
186,Acacia creatacea
187,Acacia cretata
188,Acacia crombiei
189,Acacia cuspidifolia
190,Acacia cuthbertsonii
191,Acacia cyclops
192,Acacia cyperophylla
193,Acacia dallachiana
194,Acacia dangarensis
195,Acacia microbotrya
196,Acacia dawsonii
197,Acacia dealbata
198,Acacia deanei
199,Acacia debilis
200,Acacia decurrens
201,Acacia delibrata
202,Acacia demissa
203,Acacia dempsteri
204,Acacia dentifera
205,Acacia desertorum
206,Acacia desmondii
207,Acacia didyma
208,Acacia dietrichiana
209,Acacia difficilis
210,Acacia difformis
211,Acacia dimidiata
212,Racosperma disparrimum
213,Acacia distans
214,Acacia dodonaeifolia
215,Acacia dolichophylla
216,Acacia donaldsonii
217,Acacia doratoxylon
218,Acacia drepanophylla
219,Acacia dunnii
220,Acacia duriuscula
221,Acacia echinuliflora
222,Acacia effusifolia
223,Acacia elachantha
224,Acacia elata
225,Acacia elongata
226,Acacia enervia
227,Acacia ensifolia
228,Acacia ephedroides
229,Acacia eremaea
230,Acacia eriopoda
231,Acacia estrophiolata
232,Acacia excelsa
233,Acacia iguana
234,Acacia verniciflua
235,Acacia falcata
236,Acacia falciformis
237,Acacia farnesiana
238,Acacia fasciculifera
239,Acacia fauntleroyi
240,Acacia filicifolia
241,Acacia filifolia
242,Acacia fimbriata
243,Acacia flavescens
244,Acacia fleckeri
245,Acacia flocktoniae
246,Acacia floribunda
247,Acacia floydii
248,Acacia frigescens
249,Acacia fulva
250,Acacia galeata
251,Acacia gardneri
252,Acacia tetragonophylla
253,Acacia gentlei
254,Acacia georgensis
255,Acacia georginae
256,Acacia gibbosa
257,Acacia gillii
258,Acacia glaucocaesia
259,Acacia glaucocarpa
260,Acacia gnidium
261,Acacia gonocarpa
262,Acacia gonoclada
263,Acacia grandifolia
264,Acacia grasbyi
265,Acacia greggii
266,Acacia wrightii
267,Acacia riparia
268,Acacia hakeoides
269,Acacia hamersleyensis
270,Acacia hammondii
271,Acacia harpophylla
272,Acacia havilandiorum
273,Acacia hemignosta
274,Acacia hemsleyi
275,Acacia heteroclita
276,Acacia heterophylla
277,Acacia hindsii
278,Acacia holosericea
279,Acacia holotricha
280,Acacia howittii
281,Acacia hylonoma
282,Acacia implexa
283,Acacia inaequilatera
284,Acacia inceana
285,Acacia ingramii
286,Racosperma inophloia
287,Acacia intorta
288,Acacia irrorata
289,Acacia islana
290,Acacia ixodes
291,Acacia jamesiana
