n_components,bic
1,78195.0720615578
2,76521.34913697527
3,71569.21135352919
4,70237.80261769851
5,69545.85645816154
6,64788.27242104167
7,60305.07093619187
8,62062.79413138982
9,61385.605504512576
10,58742.41096120245
11,60103.37823543792
12,59286.671626814496
13,55591.36314059337
14,50026.83133050449
15,50988.61243396798
16,50946.11814788121
17,49343.998662823156
18,52572.94186898668
19,50894.46663948878
20,51264.454960855066
21,44818.55892404344
22,42715.099880736096
23,49264.69803902094
24,44516.05924800065
25,43287.33768076484
26,47645.92756820292
27,46959.82995524981
28,37507.88604496604
29,43831.003472780125
30,39941.5412737563
31,40782.71815395109
32,38713.66920751988
33,36690.14902646016
34,39832.83634578662
35,32014.083943478647
36,33809.74471449021
37,35199.970787909835
38,32221.409718683426
39,34175.57834857185
40,31084.38409433359
41,37285.67410139523
42,30899.971739023
43,28256.88667379265
44,30483.73693810771
45,27133.60990300811
46,35588.52883624439
47,28383.38907321315
48,28522.954842980842
49,25660.42083187067
50,25717.679152271885
51,25290.8491783493
52,24636.07116345392
53,25999.921958990635
54,23134.602025715558
55,26958.409066491287
56,21675.676046712106
57,24407.75235055524
58,21729.13699618499
59,22435.59588625342
60,22025.2378245962
61,21870.31670290077
62,19397.257505035006
63,23431.00354808039
64,21485.112924239053
65,19781.75934969624
66,20676.63904330502
67,21062.97800076744
68,19184.798904174535
69,19768.304231650647
70,21033.164821923245
71,18584.32183691772
72,22375.455969780116
73,17243.018737276543
74,18387.459834009125
75,18598.870099104264
76,19270.86139124661
77,19056.964845816055
78,17193.559381158615
79,17113.20733001071
80,18706.07040097867
81,18064.451917216884
82,19872.931706966116
83,18016.342020462565
84,17191.993651272143
85,16255.453109368262
86,16164.243832000566
87,15281.623485388525
88,16670.803373406103
89,17229.55276928757
90,17084.940729830363
91,16132.66012402919
92,17214.605489866524
93,15712.54057674186
94,14583.744128948572
95,15638.180538003264
96,15846.882080932479
97,15665.085292752054
98,14066.232931886394
99,13466.388076165611
100,13162.468888373845
101,14224.23610599497
102,13577.614112884674
103,15866.843495287852
104,14109.80587363719
105,13795.882250044888
106,13397.628504062332
107,12530.877713363967
108,13414.54916274426
109,12797.443782190461
110,12564.220959018676
111,12573.603076270228
112,11725.75389186583
113,14033.047003210368
114,12907.008201940223
115,13625.220809421877
116,13069.803039247035
117,13601.950693556535
118,12585.476508125721
119,11313.136375977385
120,12337.774983702424
121,12236.280894090616
122,12449.7793661379
123,12036.798864711367
124,11232.718948837155
125,11417.613206054659
126,13458.018420054108
127,11220.435945388337
128,11081.060037932835
129,11331.9403620434
130,10739.182087720314
131,11571.961022011119
132,11184.23136468987
133,11514.915231171555
134,12303.359248380992
135,11008.97098594309
136,11839.449414905419
137,11549.32374847871
138,10612.754930917994
139,10885.583367017305
140,12073.995407879283
141,10946.178446726633
142,9793.295921739784
143,10623.232342776742
144,10035.348468640665
145,10850.904732114395
146,10842.387882652294
147,10867.973976273219
148,10965.111826388598
149,10480.16148510684
150,11000.96026395063
151,9792.010638100288
152,12428.988748602345
153,11014.467168849487
154,10641.389202541184
155,10773.117034150611
156,10392.42141178136
157,11049.39997513501
158,10281.986265034851
159,11075.933198715826
160,9972.698288026535
161,10244.549729668637
162,10043.127658294325
163,11168.645970985379
164,10779.074236656585
165,11119.439912841219
166,10364.517723943647
167,10212.522890237544
168,11258.846155687545
169,9557.230057345692
170,10742.844499000752
171,10420.115037114023
172,9541.189188539072
173,10784.541196384434
174,9520.617532756423
175,10263.911250358418
176,10009.53068909925
177,10159.206510821861
178,10104.301546591096
179,11264.486555374388
180,9336.106639055106
181,10693.12038299345
182,9741.749829803053
183,10109.21827589581
184,9744.234042890197
185,10359.849939103513
186,11337.718050265985
187,11027.41181977586
188,10209.515190116683
189,10650.797064894457
190,9268.47851149008
191,10282.054568835576
192,10754.433489152274
193,10341.877811342369
194,10022.598902572237
195,9842.021967920558
196,8406.176018838134
197,8891.549323960011
198,8346.895703770646
199,9667.881083699638
