n_components,bic
1,78195.0720615578
2,76521.34913697527
3,71567.72926981372
4,70238.01481464124
5,69559.52170573104
6,64789.173490641195
7,60305.041228246984
8,59418.27348054847
9,59091.79997801679
10,60049.31574741497
11,60321.72151539882
12,59357.99628185779
13,56887.73687788003
14,57284.36232858601
15,57283.17088120979
16,55412.93320918174
17,50506.94916651957
18,53445.02926577127
19,51540.96966525308
